code,api_url,name,start_urls,model,id,is_fixed,page,url_xpath,titles_xpath,dates_xpath,authors_xpath,references_xpath,Related to 정리 (Column)
main,/notice/main,강원대학교,https://www.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=37,Main,nttNo,"//*[@id=""board""]/table/tbody/tr/td[1]/strong",pageIndex,"//*[@id=""board""]/table/tbody/tr/td[3]/a","//*[@id=""board""]/table/tbody/tr/td[3]/a/text()","//*[@id=""board""]/table/tbody/tr/td[6]/text()","//*[@id=""board""]/table/tbody/tr/td[4]/text()","//*[@id=""board""]/table/tbody/tr/td[2]/text()",
cse,/notice/cse,컴퓨터공학과,https://cse.kangwon.ac.kr/index.php?mt=page&mp=5_1_1,Cse,BID,"//*[@id=""bbsWrap""]/table/tbody/tr/td[1]/img",cpage,"//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a/text()","//*[@id=""bbsWrap""]/table/tbody/tr/td[4]/text()","//*[@id=""bbsWrap""]/table/tbody/tr/td[3]/text()",null,
cba,/notice/cba,경영대학,http://cba.kangwon.ac.kr/bbs/board.php?bo_table=sub06_1,Cba,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,https://www.notion.so/7139fb66616a4f0d88870f5e880743af
biz,/notice/biz,경영학과,http://biz.kangwon.ac.kr/bbs/board.php?bo_table=sub06_1,Biz,wr_id,"//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[1]/b",page,"//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a","//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a/span/text()","//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[4]/text()","//*[@id=""contens""]/div/table/tbody/tr/td/form/table/tbody/tr/td[3]/text()",null,"https://www.notion.so/link_xpath-1ae9832a8d0c4af7b85d7640efc2e275, https://www.notion.so/1c392ab1886046d89e7308fbaa3db2b8"
account,/notice/account,회계학과,http://account.kangwon.ac.kr/bbs/board.php?bo_table=notice,Account,wr_id,"//*[@id=""fboardlist""]/table/tbody/tr/td[1]",page,"//*[@id=""fboardlist""]/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/table/tbody/tr/td[5]/text()","//*[@id=""fboardlist""]/table/tbody/tr/td[3]/div/text()",null,
economics,/notice/economics,경제학과,http://economics.kangwon.ac.kr/bbs/board.php?bo_table=sub07_1,Economics,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
statistics,/notice/statistics,정보통계학과,http://statistics.kangwon.ac.kr/board/bbs/board.php?bo_table=notice_bbs,Statistics,wr_id,"//*[@id=""conbox""]/table/tbody/tr/td/form/table/tbody/tr/td[1]/b",page,"//*[@id=""conbox""]/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a","//*[@id=""conbox""]/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a/span/text()","//*[@id=""conbox""]/table/tbody/tr/td/form/table/tbody/tr/td[4]/text()","//*[@id=""conbox""]/table/tbody/tr/td/form/table/tbody/tr/td[3]/text()",null,https://www.notion.so/link_xpath-1ae9832a8d0c4af7b85d7640efc2e275
tourism,/notice/tourism,관광경영학과,http://tourism.kangwon.ac.kr/bbs/board.php?bo_table=notice,Tourism,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,https://www.notion.so/mm-dd-c6ba753752dd4232a7ec83fc0e8c228c
itb,/notice/itb,국제무역학과,http://itb.kangwon.ac.kr/bbs/board.php?bo_table=notice,Itb,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/b",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/font/text()",null,null,null,
knucals,/notice/knucals,농업생명과학대학,http://knucals.kangwon.ac.kr/contents.do?cid=db2548006ba044b09df5b6b5df7aacd4,Knucals,id,/html/body/div/div[2]/div/div[2]/div/div[2]/div[2]/div[2]/ul/li/span[1]/span/text(),pageIndex,/html/body/div/div[2]/div/div[2]/div/div[2]/div[2]/div[2]/ul/li/span[3]/a,/html/body/div/div[2]/div/div[2]/div/div[2]/div[2]/div[2]/ul/li/span[3]/a/text(),/html/body/div/div[2]/div/div[2]/div/div[2]/div[2]/div[2]/ul/li/span[5]/text(),/html/body/div/div[2]/div/div[2]/div/div[2]/div[2]/div[2]/ul/li/span[4]/text(),null,https://www.notion.so/49f0de45f5f147bdab58e2565523dfa8
cll,/notice/cll,미래농업융합학과,http://cll.kangwon.ac.kr/bbs/board.php?bo_table=sub06_1,Cll,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong/i",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[5]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,https://www.notion.so/1c392ab1886046d89e7308fbaa3db2b8
bse,/notice/bse,바이오시스템기계공학과,http://bse.kangwon.ac.kr/bbs/board.php?bo_table=sub06_1,Bse,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong/i",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[5]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
foodtech,/notice/foodtech,식품생명공학과,http://foodtech.kangwon.ac.kr/bbs/board.php?bo_table=sub05_1,Foodtech,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
